Date,Time,Action,Price,Position,Portfolio Value,Cash,Account Balance
2016-06-14,09:30,HOLD,181.49,0.00,50000.00,50000.00,40000.00
2016-06-15,09:30,HOLD,183.09,0.00,50000.00,50000.00,40000.00
2016-06-16,09:30,HOLD,185.88,0.00,50000.00,50000.00,40000.00
2016-06-17,09:30,HOLD,183.79,0.00,50000.00,50000.00,40000.00
2016-06-20,09:30,HOLD,186.45,0.00,50000.00,50000.00,40000.00
2016-06-21,09:30,HOLD,184.90,0.00,50000.00,50000.00,40000.00
2016-06-22,09:30,HOLD,184.10,0.00,50000.00,50000.00,40000.00
2016-06-23,09:30,HOLD,183.61,0.00,50000.00,50000.00,40000.00
2016-06-24,09:30,HOLD,182.34,0.00,50000.00,50000.00,40000.00
2016-06-14,09:30,HOLD,181.49,0.00,50000.00,50000.00,50000.00
2016-06-15,09:30,HOLD,183.09,0.00,50000.00,50000.00,50000.00
2016-06-16,09:30,HOLD,185.88,0.00,50000.00,50000.00,50000.00
2016-06-17,09:30,HOLD,183.79,0.00,50000.00,50000.00,50000.00
2016-06-20,09:30,HOLD,186.45,0.00,50000.00,50000.00,50000.00
2016-06-21,09:30,HOLD,184.90,0.00,50000.00,50000.00,50000.00
2016-06-22,09:30,HOLD,184.10,0.00,50000.00,50000.00,50000.00
2016-06-23,09:30,HOLD,183.61,0.00,50000.00,50000.00,50000.00
2016-06-24,09:30,HOLD,182.34,0.00,50000.00,50000.00,50000.00
2016-06-27,09:30,BUY,183.14,218.00,49960.08,10035.54,50000.00
2016-06-28,09:30,HOLD,186.19,218.00,50625.29,10035.54,50000.00
2016-06-29,09:30,HOLD,191.34,218.00,51747.15,10035.54,50000.00
2016-06-30,09:30,SELL,190.33,0.00,51568.78,51568.78,50000.00
2016-07-01,09:30,BUY,188.75,218.00,51527.64,10379.77,50000.00
2016-07-04,09:30,SELL,197.05,0.00,53380.22,53380.22,50000.00
2016-07-05,09:30,BUY,190.73,223.00,53337.69,10804.90,50000.00
2016-07-07,09:30,SELL,189.68,0.00,53146.42,53146.42,50000.00
2016-07-08,09:30,BUY,191.93,221.00,53104.01,10686.93,50000.00
2016-07-11,09:30,HOLD,192.63,221.00,53258.31,10686.93,50000.00
2016-07-12,09:30,HOLD,194.69,221.00,53712.66,10686.93,50000.00
2016-07-13,09:30,SELL,192.75,0.00,53326.63,53326.63,50000.00
2016-07-14,09:30,BUY,191.62,222.00,53284.09,10743.97,50000.00
2016-07-15,09:30,SELL,193.17,0.00,53671.42,53671.42,50000.00
2016-07-18,09:30,HOLD,193.21,0.00,53671.42,53671.42,50000.00
2016-07-19,09:30,BUY,193.17,222.00,53628.54,10743.98,50000.00
2016-07-20,09:30,HOLD,193.21,222.00,53637.16,10743.98,50000.00
2016-07-21,09:30,HOLD,196.28,222.00,54317.45,10743.98,50000.00
2016-07-22,09:30,SELL,196.39,0.00,54386.89,54386.89,50000.00
2016-07-25,09:30,HOLD,193.56,0.00,54386.89,54386.89,50000.00
2016-07-26,09:30,BUY,195.23,222.00,54343.54,11002.58,50000.00
2016-07-27,09:30,SELL,194.73,0.00,54274.83,54274.83,50000.00
2016-07-28,09:30,BUY,193.48,224.00,54231.49,10891.06,50000.00
2016-07-29,09:30,HOLD,197.21,224.00,55065.63,10891.06,50000.00
2016-08-01,09:30,SELL,195.50,0.00,54727.10,54727.10,50000.00
2016-08-02,09:30,BUY,194.73,224.00,54683.49,11065.02,50000.00
2016-08-03,09:30,SELL,201.71,0.00,56292.69,56292.69,50000.00
2016-08-04,09:30,BUY,197.05,228.00,56247.76,11319.74,50000.00
2016-08-05,09:30,SELL,195.62,0.00,55965.13,55965.13,50000.00
2016-08-08,09:30,HOLD,196.28,0.00,55965.13,55965.13,50000.00
